name,price,socket_type,cooler_length,created_at
인텔 Laminar RM1,10900,3150,47.0,2026-05-21 09:29:27.587474
COOLERTEC ALPHA-100-BLUE,10990,"115X,2400",,2026-05-21 09:29:27.587474
ARCTIC Alpine 17 서린,11270,2000,66.0,2026-05-21 09:29:27.587474
조이쿨 RGB-120,11370,"115X,1366,AMD4,AM2,2000",135.0,2026-05-21 09:29:27.587474
EVERCOOL EC115X-BLUE LED,11804,"115X,2200",65.0,2026-05-21 09:29:27.587474
써멀테이크 UX400,12000,"1851,115X,AM2,AMD4,1800",152.0,2026-05-21 09:29:27.587474
조이쿨 RGB-120 V2,12000,"115X,AMD4,AM2,2000",135.0,2026-05-21 09:29:27.587474
ID-COOLING DK-07A RAINBOW 데이븐,12290,"AMD4,1800",60.0,2026-05-21 09:29:27.587474
NCTOP LYP-I7C008Y01,12930,3000,20.0,2026-05-21 09:29:27.587474
싸이번 BREEZE AC92,12970,"1851,115X,AMD4,2200",128.0,2026-05-21 09:29:27.587474
조이쿨 ITX20-115X/1700,13000,"115X,2800",20.0,2026-05-21 09:29:27.587474
라이트컴 COMS BT197,13410,"115X,AM2,2200",12.0,2026-05-21 09:29:27.587474
COOLERTEC ALPHA 1000 WHITE,13440,"115X,1366,2000",58.0,2026-05-21 09:29:27.587474
EVERCOOL EC155A-915BP SLIM,13730,"115X,2600",,2026-05-21 09:29:27.587474
COOLERTEC GAMMA-300 ORANGE-CU,13760,"AMD4,AM2,2300",60.0,2026-05-21 09:29:27.587474
조이쿨 MVC-90 LED PWM,13970,"115X,2300",60.0,2026-05-21 09:29:27.587474
조이쿨 ITX20-1700,14110,2800,20.0,2026-05-21 09:29:27.587474
아이티젠 비티즈 T400 LED RGB,14500,"115X,1366,AMD4,AM2,1300",155.0,2026-05-21 09:29:27.587474
야인컴퓨터 YAIN YC-T180,14580,"115X,2011,1366,1600",156.0,2026-05-21 09:29:27.587474
PCCOOLER BT896,14780,"115X,AMD4,AM2,1600",70.0,2026-05-21 09:29:27.587474
