name,price,socket_type,memory_type,created_at,bench_score
인텔 코어 울트라7 시리즈2 265T (애로우레이크),726810,1851,DDR5,2026-05-21 09:09:51.582418,38289.0
인텔 코어i9-9세대 9900 (커피레이크-R),734200,1151V2,DDR4,2026-05-21 09:09:51.582418,16274.0
AMD 라이젠9-4세대 5950X (버미어),735000,AMD4,DDR4,2026-05-21 09:09:51.582418,45295.0
인텔 제온 E3-1275V6 (카비레이크),736000,1151,,2026-05-21 09:09:51.582418,9206.0
인텔 코어i9-9세대 9900KF (커피레이크-R),738900,1151V2,DDR4,2026-05-21 09:09:51.582418,17996.0
인텔 제온 스케일러블 실버 4208 (캐스케이드레이크),740000,3647,DDR4,2026-05-21 09:09:51.582418,10944.0
인텔 코어i7-14세대 14700K (랩터레이크 리프레시),742390,1700,DDR5,2026-05-21 09:09:51.582418,52009.0
AMD 라이젠7-3세대 3800XT (마티스),744890,AMD4,DDR4,2026-05-21 09:09:51.582418,23429.0
인텔 코어i9-12세대 12900F (엘더레이크),747600,1700,DDR5,2026-05-21 09:09:51.582418,35789.0
인텔 제온 E 2176G (커피레이크),749990,1151V2,DDR4,2026-05-21 09:09:51.582418,13634.0
AMD 라이젠7-4세대 5800X3D (버미어),750000,AMD4,DDR4,2026-05-21 09:09:51.582418,28306.0
AMD 라이젠9 PRO 7945 (라파엘),751890,AMD5,DDR5,2026-05-21 09:09:51.582418,47077.0
AMD 라이젠9-5세대 7950X3D (라파엘),752340,AMD5,DDR5,2026-05-21 09:09:51.582418,62318.0
AMD 라이젠9-4세대 5900X (버미어),759000,AMD4,DDR4,2026-05-21 09:09:51.582418,38917.0
AMD 라이젠9-6세대 9950X (그래니트 릿지),765240,AMD5,DDR5,2026-05-21 09:09:51.582418,65758.0
인텔 제온 E5-2630 v4 (브로드웰-EP),770000,2011,DDR4,2026-05-21 09:09:51.582418,11369.0
인텔 코어i9-9세대 9900K (커피레이크-R),770000,1151V2,DDR4,2026-05-21 09:09:51.582418,18063.0
AMD 라이젠9-3세대 3900XT (마티스),780200,AMD4,DDR4,2026-05-21 09:09:51.582418,32486.0
인텔 코어i7-8세대 8086K (커피레이크),795560,1151V2,DDR4,2026-05-21 09:09:51.582418,14074.0
인텔 코어i9-13세대 13900F (랩터레이크),805000,1700,DDR5,2026-05-21 09:09:51.582418,48391.0
인텔 코어i9-12세대 12900K (엘더레이크),819980,1700,DDR5,2026-05-21 09:09:51.582418,41131.0
AMD 라이젠9-5세대 7900X3D (라파엘),829600,AMD5,DDR5,2026-05-21 09:09:51.582418,50209.0
AMD EPYC 4584PX (라파엘),832820,AMD5,DDR5,2026-05-21 09:09:51.582418,59990.0
인텔 코어i9-14세대 14900F (랩터레이크 리프레시),838220,1700,DDR5,2026-05-21 09:09:51.582418,46646.0
AMD 라이젠9-6세대 9900X3D (그래니트 릿지),843260,AMD5,DDR5,2026-05-21 09:09:51.582418,56210.0
인텔 코어i9-10세대 10900K (코멧레이크S),850000,1200,DDR4,2026-05-21 09:09:51.582418,22292.0
인텔 코어i9-14세대 14900 (랩터레이크 리프레시),865240,1700,DDR5,2026-05-21 09:09:51.582418,44831.0
인텔 제온 스케일러블 실버 4210 (캐스케이드레이크),869990,3647,DDR4,2026-05-21 09:09:51.582418,13575.0
AMD EPYC 4585PX (그라도),878980,AMD5,DDR5,2026-05-21 09:09:51.582418,68893.0
인텔 코어X-시리즈 i9-9940X (스카이레이크),890000,2066,DDR4,2026-05-21 09:09:51.582418,28022.0
인텔 코어 울트라9 시리즈2 285 (애로우레이크),896540,1851,DDR5,2026-05-21 09:09:51.582418,57541.0
AMD 라이젠 스레드리퍼 PRO 3955WX (캐슬 픽-W),902430,SWRX8,DDR4,2026-05-21 09:09:51.582418,39869.0
인텔 코어 울트라9 시리즈2 285K (애로우레이크),904550,1851,DDR5,2026-05-21 09:09:51.582418,67290.0
AMD 라이젠 스레드리퍼 2950X (콜팩스),915510,TR4,DDR4,2026-05-21 09:09:51.582418,29466.0
AMD 라이젠5-4세대 5600X (버미어),930000,AMD4,DDR4,2026-05-21 09:09:51.582418,21838.0
인텔 코어i9-13세대 13900KS (랩터레이크),932500,1700,DDR5,2026-05-21 09:09:51.582418,60495.0
인텔 코어i7-13세대 13700T (랩터레이크),968150,1700,DDR5,2026-05-21 09:09:51.582418,27572.0
인텔 코어i9-13세대 13900T (랩터레이크),968150,1700,DDR5,2026-05-21 09:09:51.582418,42321.0
인텔 코어i9-14세대 14900T (랩터레이크 리프레시),972890,1700,DDR5,2026-05-21 09:09:51.582418,37866.0
인텔 제온 스케일러블 실버 4309Y (아이스레이크),973880,4189,DDR4,2026-05-21 09:09:51.582418,18887.0
인텔 코어i9-12세대 12900T (엘더레이크),973990,1700,DDR5,2026-05-21 09:09:51.582418,28951.0
인텔 코어i7-14세대 14700T (랩터레이크 리프레시),978990,1700,DDR5,2026-05-21 09:09:51.582418,30935.0
인텔 코어 울트라9 시리즈2 285T (애로우레이크),991900,1851,DDR5,2026-05-21 09:09:51.582418,40033.0
인텔 코어X-시리즈 i9-10900X (캐스케이드레이크),996390,2066,DDR4,2026-05-21 09:09:51.582418,22319.0
인텔 제온 스케일러블 실버 4114 (스카이레이크),1010000,3647,DDR4,2026-05-21 09:09:51.582418,13143.0
인텔 코어i9-13세대 13900 (랩터레이크),1011750,1700,DDR5,2026-05-21 09:09:51.582418,44864.0
인텔 코어i9-14세대 14900K (랩터레이크 리프레시),1031860,1700,DDR5,2026-05-21 09:09:51.582418,58350.0
AMD EPYC 7302P (롬),1032540,,DDR4,2026-05-21 09:09:51.582418,32114.0
인텔 코어i9-14세대 14900KS (랩터레이크 리프레시),1057080,1700,DDR5,2026-05-21 09:09:51.582418,60153.0
AMD 라이젠9-6세대 9950X3D (그래니트 릿지),1107500,AMD5,DDR5,2026-05-21 09:09:51.582418,70192.0
인텔 코어X-시리즈 i9-10920X (캐스케이드레이크),1151930,2066,DDR4,2026-05-21 09:09:51.582418,25751.0
인텔 제온 스케일러블 실버 4214 (캐스케이드레이크),1216410,3647,DDR4,2026-05-21 09:09:51.582418,16430.0
AMD 라이젠 스레드리퍼 3960X (캐슬 픽),1232710,STRX4,DDR4,2026-05-21 09:09:51.582418,54777.0
AMD EPYC 7313 (밀라노),1250000,,DDR4,2026-05-21 09:09:51.582418,38938.0
인텔 제온 스케일러블 실버 4215 (캐스케이드레이크),1277400,3647,DDR4,2026-05-21 09:09:51.582418,13378.0
인텔 코어X-시리즈 i9-10940X (캐스케이드레이크),1323750,2066,DDR4,2026-05-21 09:09:51.582418,27675.0
AMD EPYC 7313P (밀라노),1350000,,DDR4,2026-05-21 09:09:51.582418,40454.0
AMD 라이젠 스레드리퍼 1900X (화이트헤븐),1364870,TR4,DDR4,2026-05-21 09:09:51.582418,16834.0
AMD 라이젠9-6세대 9950X3D2 (그래니트 릿지),1410000,AMD5,DDR5,2026-05-21 09:09:51.582418,72784.0
AMD 라이젠9-5세대 7950X (라파엘),1500000,AMD5,DDR5,2026-05-21 09:09:51.582418,62190.0
AMD 라이젠 스레드리퍼 2990WX (콜팩스),1563030,TR4,DDR4,2026-05-21 09:09:51.582418,32044.0
AMD 라이젠 스레드리퍼 PRO 5955WX (샤갈 프로),1603360,SWRX8,DDR4,2026-05-21 09:09:51.582418,48798.0
인텔 제온 스케일러블 실버 4216 (캐스케이드레이크),1613000,3647,DDR4,2026-05-21 09:09:51.582418,21085.0
AMD 라이젠 스레드리퍼 7960X (스톰 픽),1905350,,DDR5,2026-05-21 09:09:51.582418,83430.0
인텔 제온 스케일러블 실버 4314 (아이스레이크),1976000,4189,DDR4,2026-05-21 09:09:51.582418,28623.0
인텔 제온 스케일러블 실버 4310 (아이스레이크),1977000,4189,DDR4,2026-05-21 09:09:51.582418,21635.0
인텔 제온 스케일러블 실버 4316 (아이스레이크),1982840,4189,DDR4,2026-05-21 09:09:51.582418,32556.0
AMD EPYC 7302 (롬),2012950,,DDR4,2026-05-21 09:09:51.582418,33499.0
AMD 라이젠 스레드리퍼 PRO 5965WX (샤갈 프로),2100000,SWRX8,DDR4,2026-05-21 09:09:51.582418,65879.0
AMD 라이젠 스레드리퍼 PRO 3975WX (캐슬 픽-W),2157600,SWRX8,DDR4,2026-05-21 09:09:51.582418,62222.0
AMD 라이젠 스레드리퍼 9960X (시마다 픽),2324990,,DDR5,2026-05-21 09:09:51.582418,92632.0
AMD 라이젠 스레드리퍼 2970WX (콜팩스),2350000,TR4,DDR4,2026-05-21 09:09:51.582418,30975.0
AMD 라이젠 스레드리퍼 PRO 7955WX (스톰 픽),2398000,,DDR5,2026-05-21 09:09:51.582418,60056.0
인텔 제온 스케일러블 골드 5317 (아이스레이크),2532000,4189,DDR4,2026-05-21 09:09:51.582418,27293.0
인텔 제온 스케일러블 골드 5222 (캐스케이드레이크),2576000,3647,DDR4,2026-05-21 09:09:51.582418,9366.0
AMD 라이젠 스레드리퍼 PRO 9955WX (시마다 픽),2579960,,DDR5,2026-05-21 09:09:51.582418,67105.0
인텔 제온 스케일러블 골드 6326 (아이스레이크),2629990,4189,DDR4,2026-05-21 09:09:51.582418,32738.0
AMD 라이젠 스레드리퍼 3970X (캐슬 픽),2655050,STRX4,DDR4,2026-05-21 09:09:51.582418,62895.0
인텔 제온 스케일러블 골드 5220 (캐스케이드레이크),2716000,3647,DDR4,2026-05-21 09:09:51.582418,24480.0
인텔 제온 스케일러블 골드 5318Y (아이스레이크),2720350,4189,DDR4,2026-05-21 09:09:51.582418,33139.0
인텔 제온 스케일러블 골드 5318H (쿠퍼레이크),2800400,4189,DDR4,2026-05-21 09:09:51.582418,29301.0
인텔 제온 스케일러블 골드 5218 (캐스케이드레이크),2814000,3647,DDR4,2026-05-21 09:09:51.582418,21731.0
인텔 제온 스케일러블 실버 4116 (스카이레이크),2889490,3647,DDR4,2026-05-21 09:09:51.582418,14925.0
인텔 제온 스케일러블 골드 5318N (아이스레이크),2937980,4189,DDR4,2026-05-21 09:09:51.582418,34301.0
인텔 제온 스케일러블 골드 5320H (쿠퍼레이크),2996420,4189,DDR4,2026-05-21 09:09:51.582418,31718.0
인텔 제온 w5-2465X (사파이어 래피드),3059700,,DDR5,2026-05-21 09:09:51.582418,45074.0
AMD 라이젠 스레드리퍼 PRO 5975WX (샤갈 프로),3115000,SWRX8,DDR4,2026-05-21 09:09:51.582418,75037.0
인텔 제온 스케일러블 골드 5315Y (아이스레이크),3146000,4189,DDR4,2026-05-21 09:09:51.582418,20477.0
인텔 제온 스케일러블 골드 5320 (아이스레이크),3153170,4189,DDR4,2026-05-21 09:09:51.582418,37558.0
인텔 제온 스케일러블 골드 5318S (아이스레이크),3253540,4189,DDR4,2026-05-21 09:09:51.582418,29301.0
인텔 제온 스케일러블 골드 6230 (캐스케이드레이크),3410000,3647,DDR4,2026-05-21 09:09:51.582418,26119.0
인텔 제온 스케일러블 골드 6330 (아이스레이크),3410200,4189,DDR4,2026-05-21 09:09:51.582418,42072.0
인텔 제온 스케일러블 골드 5320T (아이스레이크),3482040,4189,DDR4,2026-05-21 09:09:51.582418,33828.0
인텔 제온 스케일러블 골드 6140 (스카이레이크),3485000,3647,DDR4,2026-05-21 09:09:51.582418,24187.0
인텔 제온 w5-3435X (사파이어 래피드),3549760,,DDR5,2026-05-21 09:09:51.582418,44480.0
인텔 제온 스케일러블 골드 6242R (캐스케이드레이크),3566070,3647,DDR4,2026-05-21 09:09:51.582418,36011.0
AMD 라이젠 스레드리퍼 7970X (스톰 픽),3690000,,DDR5,2026-05-21 09:09:51.582418,99265.0
인텔 제온 스케일러블 골드 6336Y (아이스레이크),3711160,4189,DDR4,2026-05-21 09:09:51.582418,45517.0
인텔 제온 스케일러블 골드 6152 (스카이레이크),3760000,3647,DDR4,2026-05-21 09:09:51.582418,24572.0
AMD 라이젠 스레드리퍼 9970X (시마다 픽),3888750,,DDR5,2026-05-21 09:09:51.582418,106915.0
인텔 제온 스케일러블 골드 6312U (아이스레이크),3940000,4189,DDR4,2026-05-21 09:09:51.582418,41858.0
인텔 제온 스케일러블 골드 6234 (캐스케이드레이크),4020800,3647,DDR4,2026-05-21 09:09:51.582418,17274.0
인텔 제온 스케일러블 골드 5122 (스카이레이크),4090770,3647,DDR4,2026-05-21 09:09:51.582418,8875.0
AMD 라이젠 스레드리퍼 PRO 7965WX (스톰 픽),4226370,,DDR5,2026-05-21 09:09:51.582418,82173.0
인텔 제온 스케일러블 골드 6142 (스카이레이크),4244000,3647,DDR4,2026-05-21 09:09:51.582418,25218.0
인텔 제온 스케일러블 골드 6134 (스카이레이크),4292000,3647,DDR4,2026-05-21 09:09:51.582418,16522.0
인텔 제온 스케일러블 골드 6330H (쿠퍼레이크),4433000,4189,DDR4,2026-05-21 09:09:51.582418,42072.0
인텔 제온 스케일러블 골드 6240 (캐스케이드레이크),4438000,3647,DDR4,2026-05-21 09:09:51.582418,26927.0
인텔 제온 스케일러블 골드 6334 (아이스레이크),4461370,4189,DDR4,2026-05-21 09:09:51.582418,20512.0
인텔 제온 스케일러블 골드 5120 (스카이레이크),4476000,3647,DDR4,2026-05-21 09:09:51.582418,763.0
인텔 제온 스케일러블 골드 6346 (아이스레이크),4499990,4189,DDR4,2026-05-21 09:09:51.582418,37171.0
AMD 라이젠 스레드리퍼 PRO 9965WX (시마다 픽),4533810,,DDR5,2026-05-21 09:09:51.582418,92702.0
인텔 제온 스케일러블 골드 6526Y (에메랄드 래피드),4550000,,DDR5,2026-05-21 09:09:51.582418,42195.0
인텔 제온 스케일러블 골드 6242 (캐스케이드레이크),4592900,3647,DDR4,2026-05-21 09:09:51.582418,24099.0
인텔 제온 스케일러블 골드 6254 (캐스케이드레이크),4741590,3647,DDR4,2026-05-21 09:09:51.582418,32183.0
인텔 제온 스케일러블 골드 6348H (쿠퍼레이크),4787810,4189,DDR4,2026-05-21 09:09:51.582418,51843.0
인텔 제온 스케일러블 골드 6354 (아이스레이크),4842220,4189,DDR4,2026-05-21 09:09:51.582418,38332.0
인텔 제온 w7-3465X (사파이어 래피드),4912660,,DDR5,2026-05-21 09:09:51.582418,61626.0
인텔 제온 스케일러블 골드 6330N (아이스레이크),5066000,4189,DDR4,2026-05-21 09:09:51.582418,36360.0
인텔 제온 스케일러블 골드 6338T,5145790,,,2026-05-21 09:09:51.582418,35801.0
