name,price,memory_type,memory_clock,created_at,bench_score
삼성전자 노트북 DDR4-2133,143340,DDR4,2133,2026-05-22 11:57:25.202677,14.0
SK하이닉스 노트북 DDR5-4800 중고,148000,DDR5,4800,2026-05-22 11:57:25.202677,18.7
Terabyte Ramonster DDR4-3200 CL22,151786,DDR4,3200,2026-05-22 11:57:25.202677,15.3
컴이지 킹덤 DDR4-3200 CL22,152000,DDR4,3200,2026-05-22 11:57:25.202677,15.3
마이크론 Crucial DDR5-4800 CL40,155000,DDR5,4800,2026-05-22 11:57:25.202677,13.4
PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,157680,DDR4,3200,2026-05-22 11:57:25.202677,15.3
삼성전자 DDR4-2666,159330,DDR4,2666,2026-05-22 11:57:25.202677,15.7
G.SKILL 노트북 DDR4-3200 CL22 RIPJAWS,159990,DDR4,3200,2026-05-22 11:57:25.202677,15.3
커널앤코어 DDR4-3200 CL22,160000,DDR4,3200,2026-05-22 11:57:25.202677,15.3
GUDGA DDR4-3200 CL22,161050,DDR4,3200,2026-05-22 11:57:25.202677,15.3
비즈텍 TREAVE DDR4-2666 CL19,165210,DDR4,2666,2026-05-22 11:57:25.202677,16.6
마이크론 노트북 DDR5-5600 중고,166290,DDR5,5600,2026-05-22 11:57:25.202677,20.5
Ramaxel 노트북 DDR5-4800 중고,168000,DDR5,4800,2026-05-22 11:57:25.202677,18.7
AFOX DDR4-3200 CL22 대원씨티에스,169210,DDR4,3200,2026-05-22 11:57:25.202677,15.3
PATRIOT 노트북 DDR4-2666 CL19 SIGNATURE,172500,DDR4,2666,2026-05-22 11:57:25.202677,16.6
GeIL DDR4-2666 CL19 PRISTINE,174990,DDR4,2666,2026-05-22 11:57:25.202677,16.6
옵티머스 DDR4-3200 아인스시스템,177390,DDR4,3200,2026-05-22 11:57:25.202677,18.9
타무즈 노트북 DDR4-2666 CL19,177790,DDR4,2666,2026-05-22 11:57:25.202677,16.6
TeamGroup 노트북 DDR4-3200 CL22 Elite,178330,DDR4,3200,2026-05-22 11:57:25.202677,15.3
비즈텍 TREAVE 노트북 DDR4-2666 CL19,178500,DDR4,2666,2026-05-22 11:57:25.202677,16.6
AGI 노트북 DDR4-3200 CL22 SD138 서린,178970,DDR4,3200,2026-05-22 11:57:25.202677,15.3
G.SKILL DDR4-3000 CL16 TRIDENT Z ROYAL 실버 패키지,179340,DDR4,3000,2026-05-22 11:57:25.202677,16.7
ADATA 노트북 DDR4-3200 CL22,180550,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ESSENCORE KLEVV DDR4-2666 CL19 파인인포,181000,DDR4,2666,2026-05-22 11:57:25.202677,16.6
PATRIOT DDR5-5600 CL46 SIGNATURE PREMIUM 블랙,181600,DDR5,5600,2026-05-22 11:57:25.202677,20.5
SK하이닉스 DDR4-3200 중고,182340,DDR4,3200,2026-05-22 11:57:25.202677,21.3
GeIL 노트북 DDR4-3200 CL22,185990,DDR4,3200,2026-05-22 11:57:25.202677,15.3
GeIL DDR4-3200 CL22 PRISTINE,187000,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ANACOMDA DDR4-3200 CL22 디앤디컴,189400,DDR4,3200,2026-05-22 11:57:25.202677,15.3
AGI DDR4-3200 CL22 UD138 서린,194000,DDR4,3200,2026-05-22 11:57:25.202677,15.3
SK하이닉스 DDR4-3200,194640,DDR4,3200,2026-05-22 11:57:25.202677,21.3
G.SKILL DDR4-2666 CL19 AEGIS,194770,DDR4,2666,2026-05-22 11:57:25.202677,16.6
G.SKILL 노트북 DDR4-2666 CL19 RIPJAWS,196300,DDR4,2666,2026-05-22 11:57:25.202677,16.6
TeamGroup DDR4-3200 Elite,198790,DDR4,3200,2026-05-22 11:57:25.202677,18.9
마이크론 Crucial DDR4-3200 CL22 대원씨티에스,198890,DDR4,3200,2026-05-22 11:57:25.202677,15.3
OLOy DDR4-3600 CL18 BLADE RGB Black 패키지 올로코리아,200000,DDR4,3600,2026-05-22 11:57:25.202677,18.9
DLI MEMORY DDR4-3200 CL22,203220,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ADATA 노트북 DDR4-3200 CL22 파인인포,204280,DDR4,3200,2026-05-22 11:57:25.202677,15.3
Apacer DDR4-3200 CL22,205990,DDR4,3200,2026-05-22 11:57:25.202677,15.3
G.SKILL DDR4-3200 CL16 AEGIS,208990,DDR4,3200,2026-05-22 11:57:25.202677,18.9
SK하이닉스 DDR4-3200 병행수입,209600,DDR4,3200,2026-05-22 11:57:25.202677,21.3
TeamGroup T-Force DDR4-4000 CL18 XTREEM ARGB 화이트 패키지 서린,211800,DDR4,4000,2026-05-22 11:57:25.202677,21.4
타무즈 DDR4-2666 CL19,218370,DDR4,2666,2026-05-22 11:57:25.202677,16.6
마이크론 Crucial DDR4-3200 CL22 패키지,221350,DDR4,3200,2026-05-22 11:57:25.202677,15.3
G.SKILL DDR5-5600 CL36 FLARE X5 AMD 블랙,222580,DDR5,5600,2026-05-22 11:57:25.202677,20.2
TeamGroup T-Force DDR4-3600 CL18 Vulcan Z Gray 패키지 서린,223140,DDR4,3600,2026-05-22 11:57:25.202677,18.0
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지 서린,223980,DDR4,3200,2026-05-22 11:57:25.202677,18.9
G.SKILL DDR4-3200 CL16 RIPJAWS V VK,224990,DDR4,3200,2026-05-22 11:57:25.202677,19.0
G.SKILL DDR4-3200 CL16 RIPJAWS V VKB 패키지,228990,DDR4,3200,2026-05-22 11:57:25.202677,18.9
G.SKILL DDR4-3200 CL16 TRIDENT Z NEO 패키지,232970,DDR4,3200,2026-05-22 11:57:25.202677,18.9
GeIL DDR4-3600 CL18-22-22 SUPER LUCE RGB Sync 블랙 패키지,233190,DDR4,3600,2026-05-22 11:57:25.202677,18.1
G.SKILL DDR5-6000 CL30 FLARE X5 AMD 블랙,233290,DDR5,6000,2026-05-22 11:57:25.202677,21.6
BIWIN DDR4-3200 CL22,236960,DDR4,3200,2026-05-22 11:57:25.202677,15.3
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X 서린,237860,DDR4,3200,2026-05-22 11:57:25.202677,18.9
TeamGroup T-Force DDR4-3200 CL16 XTREEM ARGB 패키지,238680,DDR4,3200,2026-05-22 11:57:25.202677,18.9
OLOy DDR4-3600 CL14 BLADE RGB AL 패키지 올로코리아,238990,DDR4,3600,2026-05-22 11:57:25.202677,22.2
삼성전자 DDR4-2666 중고,240790,DDR4,2666,2026-05-22 11:57:25.202677,15.7
OSCOO DDR5-5600 CL46 아스크텍,251750,DDR5,5600,2026-05-22 11:57:25.202677,20.5
컴이지 킹덤 DDR5-5600 CL46,259380,DDR5,5600,2026-05-22 11:57:25.202677,20.5
이메이션 노트북 DDR5-5600 CL46,268920,DDR5,5600,2026-05-22 11:57:25.202677,20.5
삼성전자 노트북 DDR4-2666,277990,DDR4,2666,2026-05-22 11:57:25.202677,15.7
아이티젠 DDR4-3200,278990,DDR4,3200,2026-05-22 11:57:25.202677,18.9
킹스톤 FURY DDR5-5600 CL46 Beast 블랙 병행수입,279560,DDR5,5600,2026-05-22 11:57:25.202677,20.5
킹스톤 FURY DDR5-5600 CL40 Beast 블랙 병행수입,279760,DDR5,5600,2026-05-22 11:57:25.202677,19.0
V-Color DDR4-4000 CL19 PRISM PRO RGB SILVER 패키지,280000,DDR4,4000,2026-05-22 11:57:25.202677,17.5
킹스톤 FURY DDR5-5600 CL36 Beast 블랙 병행수입,280100,DDR5,5600,2026-05-22 11:57:25.202677,20.2
삼성전자 노트북 DDR5-4800 중고,281610,DDR5,4800,2026-05-22 11:57:25.202677,18.7
이메이션 DDR5-5600 CL46,283550,DDR5,5600,2026-05-22 11:57:25.202677,20.5
아이티젠 DDR5-5600,285500,DDR5,5600,2026-05-22 11:57:25.202677,20.5
PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 화이트,288680,DDR5,6000,2026-05-22 11:57:25.202677,21.1
PATRIOT DDR5-6000 CL30 SIGNATURE PREMIUM EVO 블랙,288790,DDR5,6000,2026-05-22 11:57:25.202677,21.1
ANACOMDA DDR5-5600 CL46 디앤디컴,288880,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ESSENCORE KLEVV DDR5-5600 CL46 NEO 파인인포,289990,DDR5,5600,2026-05-22 11:57:25.202677,20.5
GUDGA DDR5-5600 CL46,290000,DDR5,5600,2026-05-22 11:57:25.202677,20.5
ESSENCORE KLEVV DDR5-5600 CL46 AMD 파인인포,290280,DDR5,5600,2026-05-22 11:57:25.202677,20.5
PATRIOT DDR5-5600 CL46 EVO,291830,DDR5,5600,2026-05-22 11:57:25.202677,20.5
킹스톤 FURY 노트북 DDR5-5600 CL40 병행수입,292690,DDR5,5600,2026-05-22 11:57:25.202677,19.0
Reletech DDR5-5600,293320,DDR5,5600,2026-05-22 11:57:25.202677,20.5
비트엠 Newsync DDR5 PC5-5600 CL46,293610,DDR5,5600,2026-05-22 11:57:25.202677,20.5
KingSpec 노트북 DDR5-5600 CL40,294590,DDR5,5600,2026-05-22 11:57:25.202677,19.0
SK하이닉스 DDR5-5600 병행수입,295140,DDR5,5600,2026-05-22 11:57:25.202677,20.5
삼성전자 DDR4-3200 중고,295340,DDR4,3200,2026-05-22 11:57:25.202677,18.9
PNY XLR8 DDR5-6200 CL42 MAKO,299000,DDR5,6200,2026-05-22 11:57:25.202677,18.1
PNY XLR8 DDR5-6000 CL36 MAKO,299000,DDR5,6000,2026-05-22 11:57:25.202677,20.1
옵티머스 DDR5-5600 아인스시스템,299700,DDR5,5600,2026-05-22 11:57:25.202677,20.5
타무즈 DDR5-5600 CL40 XMP,300410,DDR5,5600,2026-05-22 11:57:25.202677,19.0
