name,price,size,wattage,created_at
COX SECURE SC-600N,36990,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 600LF,37000,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 500W 80PLUS스탠다드 벌크,37140,ATX,500.0,2026-06-09 00:03:50.137785
잘만 ZM500W-XEII,37700,ATX,500.0,2026-06-09 00:03:50.137785
에너지옵티머스 Mach III 600K v2.3,37790,ATX,600.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL II 600W 80PLUS스탠다드 230V EU 벌크,38377,ATX,600.0,2026-06-09 00:03:50.137785
엔티스 ES 500W 80PLUS스탠다드 ATX3.1,38590,ATX,500.0,2026-06-09 00:03:50.137785
엔티스 ES 500W 80PLUS스탠다드 ATX3.1 벌크,38800,ATX,500.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX ELITE II 500W,38900,ATX,500.0,2026-06-09 00:03:50.137785
잘만 Wattbit II 500W,39090,ATX,500.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS ARIES 550W 80PLUS스탠다드,39790,ATX,,2026-06-09 00:03:50.137785
AONE STORM 600W 80PLUS스탠다드 벌크,39990,ATX,600.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL RENAS 500W 80PLUS스탠다드,40000,ATX,500.0,2026-06-09 00:03:50.137785
잘만 DecaMax 500W 80PLUS스탠다드,40430,ATX,500.0,2026-06-09 00:03:50.137785
darkFlash SAVEMOST 600W 블랙,40500,ATX,600.0,2026-06-09 00:03:50.137785
앱코 코어맥스 CM-500B ETA브론즈,40900,ATX,500.0,2026-06-09 00:03:50.137785
앱코 XPERT XP-700N,40900,ATX,700.0,2026-06-09 00:03:50.137785
AONE STORM 500W 80PLUS브론즈 벌크,40980,ATX,500.0,2026-06-09 00:03:50.137785
AONE STORM 500W 80PLUS스탠다드,40990,ATX,500.0,2026-06-09 00:03:50.137785
AONE STORM 600W 80PLUS브론즈,41000,ATX,600.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL II 600W 80PLUS스탠다드 230V EU,41279,ATX,600.0,2026-06-09 00:03:50.137785
잘만 ZM600W-XEII,41360,ATX,600.0,2026-06-09 00:03:50.137785
MSI MAG A500DN 80PLUS스탠다드,41410,ATX,500.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX VISION II 500W,41490,ATX,500.0,2026-06-09 00:03:50.137785
잘만 Tager GAMING 600W 벌크,42160,ATX,600.0,2026-06-09 00:03:50.137785
3RSYS FORCE 600W,42400,ATX,600.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXTREME 700W 벌크,42980,ATX,700.0,2026-06-09 00:03:50.137785
AONE STORM 700LF 벌크,42990,ATX,700.0,2026-06-09 00:03:50.137785
AONE STORM 500W 80PLUS브론즈,43000,ATX,500.0,2026-06-09 00:03:50.137785
잘만 EcoMax 600W,43100,ATX,600.0,2026-06-09 00:03:50.137785
잘만 DecaMax ET 600W 80PLUS스탠다드,43540,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 600W 80PLUS스탠다드,43940,ATX,600.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX FOCUS II 500W ETA BRONZE,44000,ATX,500.0,2026-06-09 00:03:50.137785
엔티스 ES 600W 80PLUS스탠다드 ATX3.1 벌크,44000,ATX,600.0,2026-06-09 00:03:50.137785
잘만 Wattbit II 600W,44080,ATX,600.0,2026-06-09 00:03:50.137785
엔티스 ES 600W 80PLUS스탠다드 ATX3.1,44470,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 700W 80PLUS스탠다드 벌크,44690,ATX,700.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS ARIES 650W 80PLUS스탠다드,44790,ATX,,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX ELITE II 600W,44860,ATX,600.0,2026-06-09 00:03:50.137785
darkFlash SAVEMOST 700W 블랙,44907,ATX,700.0,2026-06-09 00:03:50.137785
앱코 코어맥스 CM-600B ETA브론즈,45000,ATX,600.0,2026-06-09 00:03:50.137785
3RSYS AK 500S 80PLUS스탠다드 230V EU,45000,ATX,500.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL II 700W 80PLUS스탠다드 230V EU 벌크,45232,ATX,700.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL CLASSIC 600W 80PLUS브론즈 230V EU,45523,ATX,600.0,2026-06-09 00:03:50.137785
마이크로닉스 MTFX400STE08S 벌크,45570,,400.0,2026-06-09 00:03:50.137785
잘만 MegaMax 500W 80PLUS스탠다드,45750,ATX,500.0,2026-06-09 00:03:50.137785
마이크로닉스 ZERO POWER 500W,45900,ATX,500.0,2026-06-09 00:03:50.137785
AONE STORM 600W 80PLUS브론즈 벌크,45980,ATX,600.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL PRIMO 500W 80PLUS스탠다드 플랫,46200,ATX,500.0,2026-06-09 00:03:50.137785
마이크로닉스 ZERO PLUS 500W Active PFC,46840,ATX,500.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX VISION II 600W,47100,ATX,600.0,2026-06-09 00:03:50.137785
잘만 EcoMax 700W,47280,ATX,700.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL RENAS 600W 80PLUS스탠다드,47400,ATX,600.0,2026-06-09 00:03:50.137785
잘만 ZM700W-XEII,47400,ATX,700.0,2026-06-09 00:03:50.137785
AONE STORM 700LF,47470,ATX,700.0,2026-06-09 00:03:50.137785
MSI MAG A600DN 80PLUS스탠다드,47980,ATX,600.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL II 700W 80PLUS스탠다드 230V EU,48083,ATX,700.0,2026-06-09 00:03:50.137785
잘만 DecaMax 600W 80PLUS스탠다드,48480,ATX,600.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL II 700W 80PLUS스탠다드 230V EU 화이트 벌크,48814,ATX,700.0,2026-06-09 00:03:50.137785
앱코 코어맥스 CM-700B ETA브론즈,48900,ATX,700.0,2026-06-09 00:03:50.137785
AONE STORM 700W 80PLUS스탠다드,48990,ATX,700.0,2026-06-09 00:03:50.137785
GIGABYTE P650SS 80PLUS실버 FDB ATX3.0 피씨디렉트,49122,ATX,650.0,2026-06-09 00:03:50.137785
3RSYS AK 600S 80PLUS스탠다드 230V EU,49500,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 800W 80PLUS스탠다드 벌크,49540,ATX,800.0,2026-06-09 00:03:50.137785
잘만 DecaMax ET 700W 80PLUS스탠다드,49630,ATX,700.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX FOCUS PRO 600W 80PLUS 230V EU,50000,ATX,600.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 브론즈 550 V3 230V ATX3.1,50143,ATX,550.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 500 BRONZE V2 230V,50350,ATX,500.0,2026-06-09 00:03:50.137785
잘만 MegaMax ET 600W 80PLUS스탠다드,50620,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 700W 80PLUS브론즈 벌크,50980,ATX,700.0,2026-06-09 00:03:50.137785
잘만 MegaMax 600W 80PLUS스탠다드,51150,ATX,600.0,2026-06-09 00:03:50.137785
엔티스 ES 700W 80PLUS스탠다드 ATX3.1 벌크,52000,ATX,700.0,2026-06-09 00:03:50.137785
엔티스 ES 700W 80PLUS스탠다드 ATX3.1,52280,ATX,700.0,2026-06-09 00:03:50.137785
잘만 DecaMax 700W 80PLUS스탠다드,52320,ATX,700.0,2026-06-09 00:03:50.137785
NZXT C650 80PLUS골드 벌크,52900,ATX,650.0,2026-06-09 00:03:50.137785
GIGABYTE P650SS ICE 80PLUS실버 FDB ATX3.0 피씨디렉트,53214,ATX,650.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX ELITE II 700W,53360,ATX,700.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL PRIMO 600W 80PLUS스탠다드 플랫,53400,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 700W 80PLUS브론즈,53500,ATX,700.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS ARIES 750W 80PLUS스탠다드,53790,ATX,,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX FOCUS II 600W ETA BRONZE,53980,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 800W 80PLUS스탠다드,53990,ATX,800.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS GEMINI 650W 80PLUS브론즈 ATX3.1 화이트,54000,ATX,650.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS GEMINI 650W 80PLUS브론즈 ATX3.1,54000,ATX,650.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL CLASSIC 700W 80PLUS브론즈 230V EU,54300,ATX,700.0,2026-06-09 00:03:50.137785
잘만 MegaMax ET 700W 80PLUS스탠다드,54440,ATX,700.0,2026-06-09 00:03:50.137785
앱코 SETTLER 하이브리드 PCIE5.1 STH-700B ETA BRONZE 화이트,54900,ATX,700.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 500W 80PLUS브론즈 ATX3.1,54950,ATX,500.0,2026-06-09 00:03:50.137785
잘만 MegaMax II 500W 80PLUS브론즈 ATX3.1,55000,ATX,500.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL CLASSIC 700W 80PLUS브론즈 230V EU 풀모듈러,55060,ATX,700.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 550W 80PLUS스탠다드 ATX3.1,55390,ATX,550.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL II 700W 80PLUS스탠다드 230V EU 화이트,56247,ATX,700.0,2026-06-09 00:03:50.137785
마이크로닉스 ZERO PLUS 600W Active PFC,56570,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 700K 80PLUS브론즈 벌크,56980,ATX,700.0,2026-06-09 00:03:50.137785
몬스타 가츠 MASTERX X750W 80PLUS브론즈 ATX3.1 화이트,56990,ATX,750.0,2026-06-09 00:03:50.137785
잘만 MegaMax II 600W 80PLUS브론즈 ATX3.1,57070,ATX,600.0,2026-06-09 00:03:50.137785
NEWZEN SKULL 650EM 80PLUS브론즈 ATX3.1,57230,ATX,650.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 500W 80PLUS실버 ATX3.1,57600,ATX,500.0,2026-06-09 00:03:50.137785
3RSYS AK 700S 80PLUS스탠다드 230V EU,57900,ATX,700.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL RENAS 700W 80PLUS스탠다드,57900,ATX,700.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL PRIMO 700W 80PLUS스탠다드 플랫,58000,ATX,700.0,2026-06-09 00:03:50.137785
AONE STORM 600W 80PLUS브론즈 화이트,58980,ATX,600.0,2026-06-09 00:03:50.137785
잘만 ZM400-TFX 80PLUS스탠다드 230V EU,58990,,400.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 500W 80PLUS 230V EU,59000,ATX,500.0,2026-06-09 00:03:50.137785
엔티스 ES 800W 80PLUS스탠다드 ATX3.1,59240,ATX,800.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 브론즈 650 V3 230V ATX3.1,59300,ATX,650.0,2026-06-09 00:03:50.137785
DEEPCOOL PL650D 80PLUS브론즈 ATX3.1,59356,ATX,650.0,2026-06-09 00:03:50.137785
SuperFlower SF-650Z12DB Zillion DB ETA실버 ATX3.1,59405,ATX,650.0,2026-06-09 00:03:50.137785
Antec CSK 550W DC 80PLUS브론즈,59500,ATX,550.0,2026-06-09 00:03:50.137785
잘만 MegaMax 700W 80PLUS스탠다드,59750,ATX,700.0,2026-06-09 00:03:50.137785
MSI MAG A650BNL 80PLUS브론즈,59850,ATX,650.0,2026-06-09 00:03:50.137785
앱코 SETTLER 하이브리드 PCIE5.1 STH-800B ETA BRONZE 화이트,59900,ATX,800.0,2026-06-09 00:03:50.137785
앱코 SETTLER 하이브리드 PCIE5.1 STH-700B ETA BRONZE 블랙,60000,ATX,700.0,2026-06-09 00:03:50.137785
엔티스 ES 800W 80PLUS스탠다드 ATX3.1 벌크,60040,ATX,800.0,2026-06-09 00:03:50.137785
GIGABYTE P650G 80PLUS골드 ATX3.1 피씨디렉트,60100,ATX,650.0,2026-06-09 00:03:50.137785
NEWZEN SKULL 650EM 80PLUS브론즈 ATX3.1 화이트,60580,ATX,650.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX VISION II 700W,60990,ATX,700.0,2026-06-09 00:03:50.137785
몬스타 가츠 MASTERX X850W 80PLUS브론즈 ATX3.1 화이트,61270,ATX,850.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 600W 80PLUS브론즈 ATX3.1,61390,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 800W 80PLUS브론즈 벌크,61950,ATX,800.0,2026-06-09 00:03:50.137785
마이크로닉스 Compact SFX 300W 80PLUS브론즈,62400,MATX,300.0,2026-06-09 00:03:50.137785
에너지옵티머스 EXCEL CLASSIC 800W 80PLUS브론즈 230V EU,62900,ATX,800.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 브론즈 650 V3 230V ATX3.1 화이트,62938,ATX,650.0,2026-06-09 00:03:50.137785
MSI MAG A650BNL 화이트 80PLUS브론즈,62950,ATX,650.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1,64000,ATX,750.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS GEMINI 750W 80PLUS브론즈 ATX3.1 화이트,64000,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 650W 80PLUS스탠다드 ATX3.1,64200,ATX,650.0,2026-06-09 00:03:50.137785
AONE STORM 800K 80PLUS브론즈 벌크,64490,ATX,800.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 600W 80PLUS브론즈 ATX3.1 화이트,64770,ATX,600.0,2026-06-09 00:03:50.137785
AONE STORM 800W 80PLUS브론즈,64860,ATX,800.0,2026-06-09 00:03:50.137785
MSI MAG A650BN III 80PLUS브론즈 ATX3.1,64880,ATX,650.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE GOLD 550 V3 ATX3.1 블랙,64980,ATX,550.0,2026-06-09 00:03:50.137785
AONE STORM 700W 80PLUS브론즈 화이트,64990,ATX,700.0,2026-06-09 00:03:50.137785
NEWZEN SKULL 750EM 80PLUS브론즈 ATX3.1,65120,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,65900,ATX,600.0,2026-06-09 00:03:50.137785
Antec CSK 650W DC 80PLUS브론즈,66000,ATX,650.0,2026-06-09 00:03:50.137785
잘만 MegaMax 800W 80PLUS스탠다드,66100,ATX,800.0,2026-06-09 00:03:50.137785
DEEPCOOL GAMER STORM PF750L 80PLUS스탠다드,66390,ATX,750.0,2026-06-09 00:03:50.137785
Segotep BN750W KR 80PLUS브론즈 ATX3.1 블랙,66458,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 600W 80PLUS 230V EU,66500,ATX,600.0,2026-06-09 00:03:50.137785
3RSYS AK 800S 80PLUS스탠다드 230V EU,67000,ATX,800.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE GOLD 550 V3 ATX3.1 화이트,67310,ATX,550.0,2026-06-09 00:03:50.137785
잘만 GigaMax III 650W 80PLUS브론즈 모듈러 ATX3.1,67420,ATX,650.0,2026-06-09 00:03:50.137785
topower Guardian TOP-700DG 80PLUS브론즈 PCIE5.1 블랙,67778,ATX,700.0,2026-06-09 00:03:50.137785
ASUS PRIME 750W Bronze,67900,ATX,750.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL DUO 700W 80PLUS브론즈 PCIE5 플랫,68000,ATX,700.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX FOCUS II 700W ETA BRONZE PCIE5.1,68010,ATX,700.0,2026-06-09 00:03:50.137785
darkFlash 퍼펙트모스트 700W 80PLUS브론즈 ATX3.1 블랙,68660,ATX,700.0,2026-06-09 00:03:50.137785
앱코 SETTLER 하이브리드 PCIE5.1 STH-800B ETA BRONZE 블랙,69000,ATX,800.0,2026-06-09 00:03:50.137785
잘만 MegaMax II 700W 80PLUS브론즈 ATX3.1,69480,ATX,700.0,2026-06-09 00:03:50.137785
NEWZEN SKULL 750EM 80PLUS브론즈 ATX3.1 화이트,69520,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX FOCUS II 700W ETA브론즈 ATX3.1,69690,ATX,700.0,2026-06-09 00:03:50.137785
AONE 시그니처 750W 80PLUS브론즈 풀모듈러 베이직 ATX3.1,69990,ATX,750.0,2026-06-09 00:03:50.137785
darkFlash 퍼펙트모스트 700W 80PLUS브론즈 ATX3.1 화이트,71160,ATX,700.0,2026-06-09 00:03:50.137785
SuperFlower SF-750Z12DB Zillion DB ETA실버 ATX3.1,72155,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Compact SFX 350W 80PLUS브론즈,72400,MATX,350.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX VISION II 800W,72980,ATX,800.0,2026-06-09 00:03:50.137785
Antec CSK 650W 80PLUS브론즈,73000,ATX,650.0,2026-06-09 00:03:50.137785
CORSAIR CX Series CX650,73260,ATX,650.0,2026-06-09 00:03:50.137785
DEEPCOOL PL750D 80PLUS브론즈 ATX3.1,73683,ATX,750.0,2026-06-09 00:03:50.137785
NEWZEN SKULL 850EM 80PLUS브론즈 ATX3.1,73920,ATX,850.0,2026-06-09 00:03:50.137785
darkFlash 퍼펙트모스트 800W 80PLUS브론즈 ATX3.1 블랙,73960,ATX,800.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS GEMINI 850W 80PLUS브론즈 ATX3.1 화이트,74000,ATX,850.0,2026-06-09 00:03:50.137785
맥스엘리트 STARS GEMINI 850W 80PLUS브론즈 ATX3.1,74000,ATX,850.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE GOLD 650 V3 ATX3.1 블랙,74193,ATX,650.0,2026-06-09 00:03:50.137785
darkFlash 퍼펙트모스트 800W 80PLUS브론즈 ATX3.1 화이트,74392,ATX,800.0,2026-06-09 00:03:50.137785
3RSYS AK 750W 80PLUS브론즈 모듈러 ATX3.1,75000,ATX,750.0,2026-06-09 00:03:50.137785
엔티스 EG 750W 80PLUS골드 풀모듈러 ATX3.1,75200,ATX,750.0,2026-06-09 00:03:50.137785
Segotep BN850W KR 80PLUS브론즈 ATX3.1 블랙,75566,ATX,850.0,2026-06-09 00:03:50.137785
AONE 시그니처 750W 80PLUS브론즈 풀모듈러 베이직 ATX3.1 화이트,76090,ATX,750.0,2026-06-09 00:03:50.137785
잘만 GigaMax III 750W 80PLUS브론즈 모듈러 ATX3.1 화이트,76650,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 750W 80PLUS브론즈 230V EU HDB 핑크,77000,ATX,750.0,2026-06-09 00:03:50.137785
잘만 GigaMax III 750W 80PLUS브론즈 모듈러 ATX3.1,78300,ATX,750.0,2026-06-09 00:03:50.137785
NEWZEN SKULL 850EM 80PLUS브론즈 ATX3.1 화이트,78320,ATX,850.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE GOLD 650 V3 ATX3.1 화이트,78796,ATX,650.0,2026-06-09 00:03:50.137785
Antec CSK 750W DC 80PLUS브론즈 PCIE5.1,78800,ATX,750.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 브론즈 750 V3 230V ATX3.1,78820,ATX,750.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 브론즈 750 V3 230V ATX3.1 Rev.2 블랙,78820,ATX,750.0,2026-06-09 00:03:50.137785
잘만 MegaMax II 800W 80PLUS브론즈 ATX3.1,78990,ATX,800.0,2026-06-09 00:03:50.137785
엔티스 EG 750W 80PLUS골드 풀모듈러 ATX3.1 화이트,79000,ATX,750.0,2026-06-09 00:03:50.137785
MSI MAG A750BN III 80PLUS브론즈 ATX3.1,79560,ATX,750.0,2026-06-09 00:03:50.137785
CORSAIR CX Series CX750,79913,ATX,750.0,2026-06-09 00:03:50.137785
AONE 시그니처 850W 80PLUS브론즈 풀모듈러 베이직 ATX3.1,79990,ATX,850.0,2026-06-09 00:03:50.137785
맥스엘리트 MAXWELL DUO 800W 80PLUS브론즈 PCIE5 플랫 화이트,80000,ATX,800.0,2026-06-09 00:03:50.137785
AONE 시그니처 850W 80PLUS브론즈 풀모듈러 ATX3.1,80000,ATX,850.0,2026-06-09 00:03:50.137785
DEEPCOOL PL800D 80PLUS브론즈 ATX3.1,80327,ATX,800.0,2026-06-09 00:03:50.137785
SuperFlower SF-850Z12DB Zillion DB ETA실버 ATX3.1,80870,ATX,850.0,2026-06-09 00:03:50.137785
앱코 SETTLER 하이브리드 PCIE5.1 STH-1000B ETA SILVER 블랙,81000,ATX,1000.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 브론즈 750 V3 230V ATX3.1 화이트,81340,ATX,750.0,2026-06-09 00:03:50.137785
AONE 시그니처 750W 80PLUS골드 풀모듈러 ATX3.1 블랙,81450,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Performance II HV 1000W 80PLUS브론즈 FDB,81900,ATX,1000.0,2026-06-09 00:03:50.137785
MSI MAG A750BN 80PLUS브론즈 PCIE5,82000,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 700W 80PLUS브론즈 ATX3.1,82080,ATX,700.0,2026-06-09 00:03:50.137785
마이크로닉스 COOLMAX FOCUS II 800W ETA실버 ATX3.1,82580,ATX,800.0,2026-06-09 00:03:50.137785
Antec CSK 750W DC 80PLUS브론즈 PCIE5.1 화이트,82800,ATX,750.0,2026-06-09 00:03:50.137785
3RSYS AK 850W 80PLUS브론즈 모듈러 ATX3.1,83200,ATX,850.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 700W 80PLUS 230V EU,83500,ATX,700.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE GOLD 750 V3 ATX3.1 블랙,84720,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 750W 80PLUS스탠다드 ATX3.1,84900,ATX,750.0,2026-06-09 00:03:50.137785
MSI MAG A750GN 80PLUS골드 ATX3.1,84950,ATX,750.0,2026-06-09 00:03:50.137785
AONE STORM 1000W 80PLUS브론즈 벌크,84960,ATX,1000.0,2026-06-09 00:03:50.137785
AONE STORM 1000W 80PLUS브론즈,84990,ATX,1000.0,2026-06-09 00:03:50.137785
마이크로닉스 Compact SFX 400W 80PLUS브론즈,85000,MATX,400.0,2026-06-09 00:03:50.137785
GIGABYTE UD750GM PG5 80PLUS골드 풀모듈러 ATX3.0 피씨디렉트,85090,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,86070,ATX,700.0,2026-06-09 00:03:50.137785
AONE 시그니처 750W 80PLUS골드 풀모듈러 ATX3.1 화이트,86550,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Classic II 풀체인지 700W 80PLUS브론즈 ATX3.1 화이트,86960,ATX,700.0,2026-06-09 00:03:50.137785
GIGABYTE UD750GM PG5 V2 80PLUS골드 풀모듈러 ATX3.1 피씨디렉트,86990,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 Performance II PV 500W 80PLUS브론즈 FDB,87000,ATX,500.0,2026-06-09 00:03:50.137785
NEWZEN SKULL 750SM 모듈러 ATX3.1 80PLUS골드,87120,ATX,750.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE 브론즈 750 V3 230V ATX3.1 Rev.2 화이트,87700,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 WIZMAX 750W 80PLUS실버 ATX3.1,88290,ATX,750.0,2026-06-09 00:03:50.137785
잘만 GigaMax III 850W 80PLUS브론즈 모듈러 ATX3.1,88340,ATX,850.0,2026-06-09 00:03:50.137785
AONE 시그니처 850W 80PLUS골드 풀모듈러 ATX3.1 블랙,88530,ATX,850.0,2026-06-09 00:03:50.137785
시소닉 SSP-300SUB,88960,ATX,300.0,2026-06-09 00:03:50.137785
MSI MAG A650GLS 80PLUS골드 풀모듈러 ATX3.1,88970,ATX,650.0,2026-06-09 00:03:50.137785
쿨러마스터 MWE GOLD 750 V3 ATX3.1 화이트,89450,ATX,750.0,2026-06-09 00:03:50.137785
마이크로닉스 WIZMAX S-EVO 700W ETA실버 풀모듈러 ATX 3.1,89500,ATX,700.0,2026-06-09 00:03:50.137785
FSP VITA GD 750W 80PLUS골드 ATX3.1,89600,ATX,750.0,2026-06-09 00:03:50.137785
엔티스 EG 850W 80PLUS골드 풀모듈러 ATX3.1,89814,ATX,850.0,2026-06-09 00:03:50.137785
