name,price,socket_type,memory_type,pcie_type,size,memory_clock,created_at
ASUS PRIME B650-PLUS STCOM,96040,AM5,DDR5,PCIE4.0X16,ATX,6400.0,2026-04-20 15:30:38.871935
ASRock H610M-HDV/M.2 D5 Gen5 에즈윈,98130,1700,DDR5,PCIE5.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
BIOSTAR B850MT2-E DJ 제이씨현,99980,AM5,DDR5,PCIE4.0X16,MATX,8000.0,2026-04-20 15:30:38.871935
MSI PRO H610M-G DDR4,100000,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
ASRock A620AM-HVS 디앤디컴,100100,AM5,DDR5,PCIE4.0X16,MATX,6800.0,2026-04-20 15:30:38.871935
GIGABYTE A620M H 피씨디렉트,100540,AM5,DDR5,PCIE4.0X16,MATX,7600.0,2026-04-20 15:30:38.871935
ASRock A620AM-HVS 대원씨티에스,100580,AM5,DDR5,PCIE4.0X16,MATX,6800.0,2026-04-20 15:30:38.871935
MAXSUN 챌린저 A620A 2.5G 디앤디컴,100680,AM5,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H610M H V2 제이씨현,101420,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASRock H610M-HDV/M.2 D5 Gen5 디앤디컴,101520,1700,DDR5,PCIE5.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
MSI PRO A620AM-B EVO,102990,AM5,DDR5,PCIE4.0X16,MATX,6800.0,2026-04-20 15:30:38.871935
GIGABYTE H610M H V2 피씨디렉트,102990,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASUS PRIME H610M-CS 2.5G 코잇,103000,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASRock H610M-X D5 에즈윈 (벌크),103220,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
GIGABYTE H810M K 제이씨현,103550,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H810M K GEN5 제이씨현,105370,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock H610M-X D5 Gen5 대원씨티에스,105470,1700,DDR5,PCIE5.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
MAXSUN 챌린저 H810M-F 디앤디컴,106500,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME A620AM-K 대원씨티에스,106500,AM5,DDR5,PCIE4.0X16,MATX,7600.0,2026-04-20 15:30:38.871935
ASRock H610M-HDVP/D5 R2.0 인텍앤컴퍼니 (벌크),106940,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASUS PRIME H610M-A D4 STCOM,107000,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
ASUS PRIME H610M-D 코잇,107890,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASUS PRIME A620AM-A 대원씨티에스,108000,AM5,DDR5,PCIE4.0X16,MATX,7600.0,2026-04-20 15:30:38.871935
COLORFUL BATTLE-AX B650M-PLUS V14 STCOM,108840,AM5,DDR5,PCIE5.0X16,MATX,7600.0,2026-04-20 15:30:38.871935
GIGABYTE H810M K 피씨디렉트,109070,1851,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASRock H810M-P Gen5 에즈윈,109080,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H810M K GEN5 피씨디렉트,109590,1851,DDR5,PCIE5.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
ASUS PRIME H610M-E 코잇,110090,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
타무즈 B760M-ID5 (벌크),111180,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
ASRock B550M Phantom Gaming 4 대원씨티에스,111550,AM4,DDR4,PCIE4.0X16,MATX,4733.0,2026-04-20 15:30:38.871935
ASUS PRIME A620M-A 대원씨티에스,111670,AM5,DDR5,PCIE4.0X16,MATX,6400.0,2026-04-20 15:30:38.871935
GIGABYTE H610M S2H V2 제이씨현,111960,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
GIGABYTE H610M S2H V2 피씨디렉트,112010,1700,DDR5,PCIE4.0X16,MATX,5600.0,2026-04-20 15:30:38.871935
GIGABYTE H610M S2H V2 D4 듀러블에디션 피씨디렉트,112030,1700,DDR4,PCIE4.0X16,MATX,3200.0,2026-04-20 15:30:38.871935
