Bench_Name,Score
AMD Athlon 64 FX-34,247
AMD Athlon 64 FX-51,284
AMD Athlon 64 FX-53,421
AMD Athlon 64 FX-55,404
AMD Athlon 64 FX-57,517
AMD Athlon 64 FX-59,465
AMD Athlon 64 FX-60 Dual Core,709
AMD Athlon 64 FX-62 Dual Core,993
AMD Athlon 64 FX-72,1167
AMD Athlon 64 FX-74,972
AMD Athlon 64 X2 4200+,767
AMD Athlon 64 X2 Dual Core 3400+,531
AMD Athlon 64 X2 Dual Core 3600+,618
AMD Athlon 64 X2 Dual Core 3800+,623
AMD Athlon 64 X2 Dual Core 4000+,702
AMD Athlon 64 X2 Dual Core 4200+,732
AMD Athlon 64 X2 Dual Core 4400+,675
AMD Athlon 64 X2 Dual Core 4600+,720
AMD Athlon 64 X2 Dual Core 4800+,732
AMD Athlon 64 X2 Dual Core 5000+,805
AMD Athlon 64 X2 Dual Core 5200+,854
AMD Athlon 64 X2 Dual Core 5400+,907
AMD Athlon 64 X2 Dual Core 5600+,912
AMD Athlon 64 X2 Dual Core 5800+,799
AMD Athlon 64 X2 Dual Core 6000+,945
AMD Athlon 64 X2 Dual Core 6400+,954
AMD Athlon 64 X2 Dual Core BE-230,601
AMD Athlon 64 X2 Dual Core BE-2300,594
AMD Athlon 64 X2 Dual Core BE-2350,573
AMD Athlon 64 X2 Dual-Core TK-42,577
AMD Athlon 64 X2 Dual-Core TK-53,602
AMD Athlon 64 X2 Dual-Core TK-55,518
AMD Athlon 64 X2 Dual-Core TK-57,619
AMD Athlon 64 X2 QL-60,661
AMD Athlon 64 X2 QL-62,525
AMD Athlon 64 X2 QL-64,618
AMD Athlon 64 X2 QL-65,664
AMD Athlon 64 X2 QL-66,641
AMD Athlon 64 X2 QL-67,582
AMD Athlon 7450 Dual-Core,872
AMD Athlon 7550 Dual-Core,977
AMD Athlon 7750 Dual-Core,997
AMD Athlon 7850 Dual-Core,1058
AMD Athlon 7850 Dual-Core 2.8G,187
AMD Athlon Dual Core 4050e,674
AMD Athlon Dual Core 4450B,723
AMD Athlon Dual Core 4450e,710
AMD Athlon Dual Core 4850B,727
AMD Athlon Dual Core 4850e,799
AMD Athlon Dual Core 5000B,856
AMD Athlon Dual Core 5050e,846
AMD Athlon Dual Core 5200B,823
AMD Athlon Dual Core 5400B,914
AMD Athlon Dual Core 5600B,737
AMD Athlon Gold 3150C,2917
AMD Athlon Gold 3150G,6922
AMD Athlon Gold 3150U,3866
AMD Athlon Gold 7220U,4884
AMD Athlon Gold PRO 3150G,7468
AMD Athlon Gold PRO 3150GE,7006
AMD Athlon Gold PRO 4150GE,8259
AMD Athlon II 160u,358
AMD Athlon II 170u,355
AMD Athlon II Dual-Core M300,670
AMD Athlon II Dual-Core M320,770
AMD Athlon II Dual-Core M340,807
AMD Athlon II N330 Dual-Core,665
AMD Athlon II N350 Dual-Core,856
AMD Athlon II N370 Dual-Core,899
AMD Athlon II Neo K125,315
AMD Athlon II Neo K145,298
AMD Athlon II Neo K325 Dual-Core,439
AMD Athlon II Neo K345 Dual-Core,527
AMD Athlon II Neo N36L Dual-Core,487
AMD Athlon II P320 Dual-Core,717
AMD Athlon II P340 Dual-Core,732
AMD Athlon II P360 Dual-Core,760
AMD Athlon II X2 210e,1089
AMD Athlon II X2 215,1011
AMD Athlon II X2 220,1060
AMD Athlon II X2 225,880
AMD Athlon II X2 235e,1079
AMD Athlon II X2 240,1060
AMD Athlon II X2 240e,1007
AMD Athlon II X2 245,1130
AMD Athlon II X2 245e,1133
AMD Athlon II X2 250,1185
AMD Athlon II X2 250e,1202
AMD Athlon II X2 250u,615
AMD Athlon II X2 255,1210
AMD Athlon II X2 260,1255
AMD Athlon II X2 260u,713
AMD Athlon II X2 265,1324
AMD Athlon II X2 270,1337
AMD Athlon II X2 270u,675
AMD Athlon II X2 280,1384
AMD Athlon II X2 4300e,990
AMD Athlon II X2 4400e,989
AMD Athlon II X2 4450e,587
AMD Athlon II X2 B22,1064
AMD Athlon II X2 B24,1124
AMD Athlon II X2 B26,1253
AMD Athlon II X2 B28,1288
AMD Athlon II X3 400e,1320
AMD Athlon II X3 405e,1331
AMD Athlon II X3 415e,1481
AMD Athlon II X3 420e,1557
AMD Athlon II X3 425,1601
AMD Athlon II X3 425e,1493
AMD Athlon II X3 435,1645
AMD Athlon II X3 440,1743
AMD Athlon II X3 445,1811
AMD Athlon II X3 450,1866
AMD Athlon II X3 455,1939
AMD Athlon II X3 460,1965
AMD Athlon II X4 553,2418
AMD Athlon II X4 555,2526
AMD Athlon II X4 557,2567
AMD Athlon II X4 559,2652
AMD Athlon II X4 600e,1795
AMD Athlon II X4 605e,1964
AMD Athlon II X4 610e,1959
AMD Athlon II X4 615e,2024
AMD Athlon II X4 620,2002
AMD Athlon II X4 620e,1938
AMD Athlon II X4 630,2173
AMD Athlon II X4 631 Quad-Core,2106
AMD Athlon II X4 635,2250
AMD Athlon II X4 638 Quad-Core,2260
AMD Athlon II X4 640,2278
