name,price,memory_type,memory_clock,created_at
삼성전자 노트북 DDR4-2133 중고,148210,DDR4,2133,2026-04-15 11:20:26.806531
삼성전자 DDR4-2666,148620,DDR4,2666,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR4-2400,155050,DDR4,2400,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR4-2133,155170,DDR4,2133,2026-04-15 11:20:26.806531
PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,157900,DDR4,3200,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR4-3600 CL18 CRAS X RGB 패키지 서린,158610,DDR4,3600,2026-04-15 11:20:26.806531
마이크론 노트북 DDR5-5600 중고,159890,DDR5,5600,2026-04-15 11:20:26.806531
마이크론 Crucial DDR5-4800 CL40,159900,DDR5,4800,2026-04-15 11:20:26.806531
G.SKILL 노트북 DDR4-3200 CL22 RIPJAWS,160000,DDR4,3200,2026-04-15 11:20:26.806531
삼성전자 노트북 DDR4-3200 중고,163470,DDR4,3200,2026-04-15 11:20:26.806531
Ramaxel 노트북 DDR5-4800 중고,164410,DDR5,4800,2026-04-15 11:20:26.806531
킹스톤 FURY 노트북 DDR4-3200 CL40 병행수입,165640,DDR4,3200,2026-04-15 11:20:26.806531
Terabyte Ramonster 노트북 DDR4-3200 CL22,168900,DDR4,3200,2026-04-15 11:20:26.806531
커널앤코어 DDR4-3200 CL22,174000,DDR4,3200,2026-04-15 11:20:26.806531
컴이지 킹덤 DDR4-3200 CL22,174230,DDR4,3200,2026-04-15 11:20:26.806531
GeIL DDR4-2666 CL19 PRISTINE,174880,DDR4,2666,2026-04-15 11:20:26.806531
AFOX DDR4-3200 CL22 대원씨티에스,175270,DDR4,3200,2026-04-15 11:20:26.806531
PNY DDR4-2666 Performance,176000,DDR4,2666,2026-04-15 11:20:26.806531
Terabyte Ramonster DDR4-3200 CL22,177180,DDR4,3200,2026-04-15 11:20:26.806531
GUDGA DDR4-3200 CL22,179000,DDR4,3200,2026-04-15 11:20:26.806531
G.SKILL DDR4-3000 CL16 TRIDENT Z ROYAL 실버 패키지,179340,DDR4,3000,2026-04-15 11:20:26.806531
ESSENCORE KLEVV DDR4-2666 CL19 파인인포,181000,DDR4,2666,2026-04-15 11:20:26.806531
SK하이닉스 DDR4-3200 중고,181150,DDR4,3200,2026-04-15 11:20:26.806531
비즈텍 TREAVE 노트북 DDR4-2666 CL19,181490,DDR4,2666,2026-04-15 11:20:26.806531
킹스톤 DDR5-5600 CL46,182400,DDR5,5600,2026-04-15 11:20:26.806531
AGI 노트북 DDR4-3200 CL22 SD138 서린,182500,DDR4,3200,2026-04-15 11:20:26.806531
ADATA 노트북 DDR4-3200 CL22,184450,DDR4,3200,2026-04-15 11:20:26.806531
GeIL 노트북 DDR4-3200 CL22,185900,DDR4,3200,2026-04-15 11:20:26.806531
실리콘파워 DDR4-2666 CL19,186900,DDR4,2666,2026-04-15 11:20:26.806531
SK하이닉스 DDR4-3200,187040,DDR4,3200,2026-04-15 11:20:26.806531
비즈텍 TREAVE DDR4-2666 CL19,187970,DDR4,2666,2026-04-15 11:20:26.806531
삼성전자 DDR4-2133 ECC/REG 중고,188800,DDR4,2133,2026-04-15 11:20:26.806531
GeIL DDR4-3200 CL22 PRISTINE,189000,DDR4,3200,2026-04-15 11:20:26.806531
