name,price,socket_type,memory_type,created_at
AMD 라이젠3-4세대 5300G (세잔),178670,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 7500F (라파엘),182530,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 7400 (라파엘),183000,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-4세대 5500GT (세잔),184000,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 7400F (라파엘),191890,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i3-10세대 10320 (코멧레이크S),194200,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-11세대 11600KF (로켓레이크S),199100,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-10세대 10500 (코멧레이크S),202390,1200,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-4세대 5600GT (세잔),204350,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-4세대 5600G (세잔),205250,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-11세대 11400 (로켓레이크S),211270,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-8세대 8700K (커피레이크),211630,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-11세대 11500 (로켓레이크S),217500,1200,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5 PRO 4650G (르누아르),220000,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12400F (엘더레이크),221250,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i3-12세대 12100 (엘더레이크),228240,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-9세대 9700 (커피레이크-R),229340,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 225F (애로우레이크),230380,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-9세대 9700K (커피레이크-R),230440,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-10세대 10600K (코멧레이크S),233570,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-14세대 14100 (랩터레이크 리프레시),234570,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-6세대 9500F (그래니트 릿지),239000,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-5세대 8700F (피닉스),239310,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 8500G (피닉스),240000,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-13세대 13400F (랩터레이크),240210,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-9세대 9700F (커피레이크-R),250000,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 225 (애로우레이크),250770,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-14세대 14400F (랩터레이크 리프레시),252930,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어X-시리즈 i9-7920X (스카이레이크),253000,2066,DDR4,2026-05-22 11:46:43.170828
인텔 펜티엄 골드 G7400 (엘더레이크),259500,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-10세대 10700KF (코멧레이크S),264620,1200,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠7 PRO 4750G (르누아르),265800,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-6세대 9600X (그래니트 릿지),268490,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-6세대 9600 (그래니트 릿지),269870,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠3-3세대 3300X (마티스),270000,AMD4,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 8600G (피닉스),270600,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-10세대 10700F (코멧레이크S),280610,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-10세대 10600 (코멧레이크S),286520,1200,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 7600 (라파엘),289990,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 245KF (애로우레이크),291880,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12600 (엘더레이크),300000,1700,DDR5,2026-05-22 11:46:43.170828
인텔 제온 X5570 (네할렘),304240,1366,DDR3,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12400 (엘더레이크),304500,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-10세대 10400 (코멧레이크S),307000,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12600KF (엘더레이크),308310,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-4세대 5800X (버미어),316800,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i3-10세대 10100 (코멧레이크S),316800,1200,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠7-4세대 5700G (세잔),321440,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 245 (애로우레이크),325420,1851,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-5세대 7700 (라파엘),328000,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 7500X3D (라파엘),332900,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-11세대 11700 (로켓레이크S),335200,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 245K (애로우레이크),335890,1851,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-5세대 7600X (라파엘),336770,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-14세대 14400 (랩터레이크 리프레시),338760,1700,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E 2124 (커피레이크),339450,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 250KF Plus (애로우레이크 리프레시),343630,1851,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12600K (엘더레이크),348360,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5 PRO 7645 (라파엘),349470,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-13세대 13600KF (랩터레이크),349740,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-13세대 13400 (랩터레이크),352590,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-13세대 13600K (랩터레이크),353580,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-10세대 10700 (코멧레이크S),357990,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-13세대 13600 (랩터레이크),359900,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 250K Plus (애로우레이크 리프레시),360060,1851,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-5세대 7700X (라파엘),363990,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-5세대 7800X3D (라파엘),365890,AMD5,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-6세대 9700X (그래니트 릿지),374680,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12500 (엘더레이크),384740,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠7-4세대 5700 (세잔),386510,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-13세대 13500 (랩터레이크),389990,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠5-4세대 5600XT (버미어),390000,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-14세대 14600K (랩터레이크 리프레시),390700,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠9-3세대 3900X (마티스),400000,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 제온 스케일러블 브론즈 3104 (스카이레이크),400000,3647,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠7-3세대 3700X (마티스),405000,AMD4,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 235 (애로우레이크),405790,1851,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E3-1225V6 (카비레이크),408140,1151,,2026-05-22 11:46:43.170828
인텔 제온 E3-1230V6 (카비레이크),411380,1151,,2026-05-22 11:46:43.170828
AMD 라이젠7-5세대 8700G (피닉스),419890,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-14세대 14500 (랩터레이크 리프레시),429920,1700,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠9-5세대 7900X (라파엘),436700,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라5 시리즈2 225T (애로우레이크),438000,1851,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E3-1270V6 (카비레이크),440000,1151,,2026-05-22 11:46:43.170828
인텔 코어i7-11세대 11700K (로켓레이크S),450000,1200,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-10세대 10700K (코멧레이크S),451000,1200,DDR4,2026-05-22 11:46:43.170828
AMD 라이젠9-5세대 7900 (라파엘),452210,AMD5,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-12세대 12700F (엘더레이크),453250,1700,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E3-1240V6 (카비레이크),455000,1151,,2026-05-22 11:46:43.170828
인텔 제온 E 2124G (커피레이크),455690,1151V2,DDR4,2026-05-22 11:46:43.170828
인텔 코어 울트라7 시리즈2 265KF (애로우레이크),457090,1851,DDR5,2026-05-22 11:46:43.170828
AMD 라이젠 스레드리퍼 2920X (콜팩스),461800,TR4,DDR4,2026-05-22 11:46:43.170828
인텔 코어i7-12세대 12700KF (엘더레이크),462050,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-13세대 13700F (랩터레이크),463870,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i9-10세대 10850K (코멧레이크S),465310,1200,DDR4,2026-05-22 11:46:43.170828
인텔 제온 스케일러블 브론즈 3204 (캐스케이드레이크),470000,3647,DDR4,2026-05-22 11:46:43.170828
인텔 코어i5-14세대 14500T (랩터레이크 리프레시),470350,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-13세대 13700KF (랩터레이크),472790,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i3-13세대 13100 (랩터레이크),473100,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12500T (엘더레이크),477890,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-13세대 13500T (랩터레이크),477990,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i3-13세대 13100T (랩터레이크),477990,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i5-12세대 12400T (엘더레이크),478000,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i3-12세대 12100T (엘더레이크),478000,1700,DDR5,2026-05-22 11:46:43.170828
인텔 코어i7-14세대 14100T (랩터레이크 리프레시),478000,,DDR5,2026-05-22 11:46:43.170828
인텔 코어 울트라7 시리즈2 265K (애로우레이크),481050,1851,DDR5,2026-05-22 11:46:43.170828
인텔 제온 E 2234 (커피레이크-R),481650,1151V2,DDR4,2026-05-22 11:46:43.170828
