Bench_Name,Score
ADATA SU655 120GB SSD,2756
ADATA SU655 240GB SSD,3120
ADATA SU655 480GB SSD,3357
ADATA SU655 960GB SSD,3065
ADATA SU660NS38,3741
ADATA SU670,4196
ADATA SU680,4025
ADATA SU700 120GB SSD,2194
ADATA SU700 240GB SSD,2663
ADATA SU720,3673
ADATA SU740,3678
ADATA SU750,3744
ADATA SU760,4326
ADATA SU800 1TB SSD,4196
ADATA SU800 2TB SSD,4361
ADATA SU800 128GB SSD,3066
ADATA SU800 256G,2171
ADATA SU800 256GB SSD,3774
ADATA SU800 512GB SSD,4198
ADATA SU810NS38 128 GB,3325
ADATA SU810NS38 256 GB,3880
ADATA SU900,4528
ADATA SU900 128GB SSD,3156
ADATA SU900 256GB SSD,3613
ADATA SU900 512GB SSD,3749
ADATA SWORDFISH,13237
ADATA SX300,3212
ADATA SX850,3593
ADATA SX910,4251
ADATA SX910 128GB,3570
ADATA SX910 512GB,4750
ADATA SX930,3493
ADATA SX950,4420
ADATA SX6000LNP,12684
ADATA SX6000NP,6605
ADATA SX6000PNP,14629
ADATA SX6700NP,12660
ADATA SX7000NP,8726
ADATA SX8100NP,20445
ADATA SX8200NP,16124
ADATA SX8600 PRO,22803
ADATA SX8800PNP,17190
ADATA SX 910,3672
ADATA SX 930,3288
ADATA USB Flash Drive USB,293
ADATA XM11 128GB,3296
ADATA XM11 128GB-V3,3338
ADATA XM11 256GB,4444
ADATA XM11 256GB-V3,4155
ADATA XM13 30GB,1514
ADATA XM13 60GB,1974
ADATA XM14 128GB,3220
ADATA XM14 256GB,3574
ADATA XM21E,2247
ADATA XPG GAMMIX S70 BLADE 2TB SSD,56132
ADATA XPG GAMMIX S70 Blade 4TB SSD,52460
ADATA XPG PRO 1TB SSD,18953
ADATA XPG PRO 2TB SSD,20325
ADATA XPG PRO 256GB SSD,13736
ADATA XPG PRO 512GB SSD,17006
ADATA XPG SSD 32GB,783
ADATA XPG SX300 128GB,3253
ADATA XPG SX900 64GB,2363
ADATA XPG SX900 128GB,3269
ADATA XPG SX900 256GB,4008
ADATA XPG SX900 512GB,3829
ADATA XPG SX910 128GB,1959
ADATA XPG SX8000 1TB,12427
ADATA XPG SX8000 128GB,4998
ADATA XPG SX8000 256GB,9436
ADATA XPG SX8000 512GB,11354
Addlink G55H 1TB SSD,54544
Addlink G55H 2TB SSD,58267
addlink S70 M.2 G3x4 1TB,19688
addlink S70 M.2 G3x4 256GB,11052
addlink S70 M.2 G3x4 512GB,15995
addlink SSD S10 120GB,2495
addlink SSD S10 256GB,3531
addlink SSD S10 512GB,3190
ADROITLARK SSD 480GB,4001
AEWOM29SHY30KCC00-512GB,15717
AFOX SSD ME300-1000GN,11565
AFOX SSD SD250 240GQN,1615
AFOX SSD SD250-120GN,2922
AFOX SSD SD250-240GN,3375
AFOX SSD SD250-240GQN,2320
AFOX SSD SD250-256GN,3465
AFOX SSD SD250-480GB,2565
AFOX SSD SD250-480GN,3111
AFOX SSD SD250-480GQN,3039
Aftershock Hyperspeed 1TB SSD,29716
AGI AI138 120GB SSD,2542
AGI AI138 240GB SSD,2515
AGI AI138 256GB SSD,2602
AGI AI178 512GB SSD,2771
AGI AI178 960GB SSD,3290
AGI AI178R 256GB SSD,3777
AGI AI178R 512GB SSD,2601
AGI AI198 1TB SSD,10603
AGI AI198 256GB SSD,12201
AGI AI198 512GB SSD,11443
AGI AI218 1TB SSD,18684
AGI AI218 2TB SSD,21135
AGI AI218 512GB SSD,16012
AGI AI238 1TB SSD,4592
AGI AI238 2TB SSD,3773
AGI AI238 250GB SSD,2386
AGI AI238 500GB SSD,2880
AGI AI298 1TB SSD,17399
AGI AI298 2TB SSD,20068
AGI AI298 512GB SSD,14734
AGI AI808 1TB SSD,24764
AGI AI818 1TB SSD,25980
AGI AI818 2TB SSD,32462
AGI AI818 512GB SSD,27774
AGI AI828 1TB SSD,33309
Aigo P2000 1TB SSD,11601
Aigo P7000E 1TB SSD,46350
Aigo P7000Y 512GB SSD,34669
Aigo P7000Z 1TB SSD,35673
Aigo P7000Z 2TB SSD,45093
AirDisk APF10-512G,20488
Aireye S1 120GB SSD,2660
Aireye S2 128GB SSD,3681
Aireye S2 256GB SSD,4138
Aireye S 1 120GB SSD,2222
AITC FZKM SSD 128GB,7816
AITC FZKM SSD 256GB,11257
AITC KSM 128GB,2148
AITC KSM 256GB SSD,3228
AITC ST100-240GB,3350
AK-M2-256GP,8265
ALCYON,8817
ALK-MSA-128GB,1801
ALLIED SSD 120GB,2815
ALLIED SSD 240GB,3517
ALLIED SSD 256GB,2032
ALSEYE 256GB,4144
Amazon Elastic Block Store,5135
AMD R3MP31024G8,20298
AMD R5M120G8,3037
AMD R5M480G8,3390
AMD R5MP240G8,11035
AMD R5MP256G8,10430
AMD R5MP512G8,14511
AMD R5SL120G,3103
AMD R5SL128G,2915
AMD R5SL240G,2819
AMD R5SL256G,2433
AMD R5SL480G,2877
AMD R5SL512G,2544
AMD R5SL1024G,2882
AMSOSSD2,15625
ANACOMDA I2 256GB 2280 PCIe,9846
ANACOMDA I2 512GB PCIe,14406
ANACOMDA I3 512GB PCIe,25235
ANACOMDA I4S 1TB PCIe,39860
ANACOMDA I4S 2TB PCIE,42032
ANACOMDA N2 480GB SSD,4758
ANACOMDA QS 480GB SSD,2999
ANACOMDA T1 120GB SSD,1641
ANACOMDA TB 240GB SSD,2895
ANACOMDA TS 240GB SSD,2633
ANACOMDA TS 480GB SSD,2472
Angelbird Crest XTC 240GB,4068
Ant Esports 690 NEO 128GB SSD,2534
Ant Esports 690 NEO 256GB SSD,3232
ANT ESPORTS 690 NEO 512GB SSD,3127
Ant Esports 690 NEO Pro 1TB SSD,31356
Ant Esports 690 NEO Pro 256GB SSD,9998
Ant Esports 690 NEO Pro 512GB SSD,14407
Antique WS2512,19469
AOKZOE A1,20779
AOKZOE A1 2TB SSD,49358
Aoluska A6-240G,2232
Aoluska A8P-256G,16299
AORUS Gen4 7300 SSD 1TB,47813
