name,price,recommended_power,pcie_type,gpu_length,created_at
STCOM 지포스 GTX 1660 SUPER D6 6GB,291000,450.0,PCIE3.0X16,212.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 GTX 1660 SUPER OC D6 6GB,320000,450.0,PCIE3.0X16,214.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 3050 GAMING DUO V4 D6 6GB 도우정보,320000,450.0,PCIE4.0X16,245.0,2026-04-20 15:27:56.166823
MAXSUN 지포스 RTX 3050 트랜스포머 D6 6GB 디앤디컴,321580,300.0,PCIE4.0X16,189.0,2026-04-20 15:27:56.166823
GAINWARD 지포스 RTX 3050 페가수스 D6 6GB,322350,,,162.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 3050 WINDFORCE OC V2 D6 6GB 피씨디렉트,328990,300.0,PCIE4.0X16,191.0,2026-04-20 15:27:56.166823
액슬 지포스 RTX 3050 D6 6GB 에즈윈,329400,300.0,PCIE4.0X16,213.0,2026-04-20 15:27:56.166823
PALIT 지포스 RTX 3050 STORM X D6 6GB 이엠텍,329770,300.0,PCIE4.0X16,162.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 3050 GAMING DUO V4 D6 6GB 피씨디렉트,331560,450.0,PCIE4.0X16,245.0,2026-04-20 15:27:56.166823
ASUS DUAL 지포스 RTX 3050 O6G OC D6 6GB 대원씨티에스,333810,450.0,PCIE4.0X16,201.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 3050 WINDFORCE OC V2 D6 6GB 제이씨현,338800,,PCIE4.0X16,,2026-04-20 15:27:56.166823
이엠텍 지포스 RTX 3050 MIRACLE WHITE D6 6GB,341800,300.0,PCIE4.0X16,187.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 3050 벤투스 2X E OC D6 6GB,341890,300.0,PCIE4.0X16,189.0,2026-04-20 15:27:56.166823
ASRock 라데온 RX 6650 XT 스틸레전드 화이트 OC D6 8GB 에즈윈,357000,550.0,,303.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 3050 EX WHITE D6 6GB DVI,357890,300.0,PCIE4.0X16,209.0,2026-04-20 15:27:56.166823
MAXSUN Arc B580 iCraft D6 12GB 코잇,359000,,PCIE4.0X16,312.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 3050 벤투스 2X OC D6 6GB,359980,300.0,PCIE4.0X16,189.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 3050 EX BLACK D6 6GB DVI,361162,300.0,PCIE4.0X16,209.0,2026-04-20 15:27:56.166823
ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 대원씨티에스,366160,500.0,,269.0,2026-04-20 15:27:56.166823
갤럭시 GALAZ 지포스 RTX 3050 EX BLACK D6 6GB DVI,371950,300.0,PCIE4.0X16,209.0,2026-04-20 15:27:56.166823
이엠텍 지포스 RTX 3050 STORM X NANO D6 6GB,381300,300.0,PCIE4.0X16,162.0,2026-04-20 15:27:56.166823
AMD 라데온 PRO W5500 D6 8GB 대원씨티에스,383530,,PCIE4.0X16,241.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 3050 벤투스 2X XS OC D6 8GB,386490,500.0,PCIE4.0X16,205.0,2026-04-20 15:27:56.166823
액슬 지포스 RTX 2060 SUPER D6 8GB 에즈윈,391460,500.0,PCIE3.0X16,214.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 3050 토마호크 DUO V2 D6 8GB 피씨디렉트,394740,550.0,,255.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 3050 토마호크 DUO V2 D6 8GB,407990,,,255.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5050 GAMING DUO OC D6 8GB 피씨디렉트,414400,500.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5050 WINDFORCE OC D6 8GB 제이씨현,426560,550.0,PCIE5.0X16,199.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5050 Battle AX DUO D6 8GB 피씨디렉트,427510,550.0,PCIE5.0X16,231.0,2026-04-20 15:27:56.166823
PNY 지포스 RTX 5050 D6 8GB Dual Fan 제이씨현,429880,550.0,PCIE5.0X16,197.0,2026-04-20 15:27:56.166823
GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,432060,550.0,PCIE4.0X16,282.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5050 WINDFORCE OC D6 8GB 피씨디렉트,437940,550.0,PCIE5.0X16,199.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 5050 벤투스 2X OC D6 8GB,439950,550.0,PCIE5.0X16,197.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5050 BLACK OC D6 8GB DUAL HDMI,442520,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5050 GAMING OC D6 8GB 제이씨현,447280,550.0,PCIE5.0X16,280.0,2026-04-20 15:27:56.166823
MSI 지포스 RTX 5050 쉐도우 2X OC D6 8GB,447900,550.0,PCIE5.0X16,197.0,2026-04-20 15:27:56.166823
이엠텍 지포스 RTX 5050 MIRACLE WHITE D6 8GB,448930,550.0,PCIE5.0X16,250.0,2026-04-20 15:27:56.166823
XFX 라데온 RX 9060 SWIFT DUAL D6 8GB,448990,450.0,PCIE5.0X16,223.0,2026-04-20 15:27:56.166823
XFX 라데온 RX 7600 SWFT 210 CORE D6 8GB,451290,550.0,,241.0,2026-04-20 15:27:56.166823
ASRock 라데온 RX 9060 CHALLENGER D6 8GB 대원씨티에스,451990,500.0,PCIE5.0X16,249.0,2026-04-20 15:27:56.166823
PNY 지포스 RTX 5050 D6 8GB Dual Fan STCOM,459520,550.0,PCIE5.0X16,197.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5050 UD2 OC D6 8GB Nano LP 제이씨현,467420,550.0,PCIE5.0X16,182.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5050 GAMING OC D6 8GB 피씨디렉트,470410,550.0,PCIE5.0X16,280.0,2026-04-20 15:27:56.166823
갤럭시 GALAX 지포스 RTX 5050 WHITE OC D6 8GB DUAL HDMI,472000,550.0,PCIE5.0X16,225.0,2026-04-20 15:27:56.166823
SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,475740,550.0,,240.0,2026-04-20 15:27:56.166823
ASUS DUAL 지포스 RTX 5050 D6 8GB 대원씨티에스,480700,550.0,PCIE5.0X16,203.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5050 GAMING DUO D6 8GB 도우정보,484990,500.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
ASUS DUAL 지포스 RTX 5050 OC D6 8GB 대원씨티에스,486200,550.0,PCIE5.0X16,203.0,2026-04-20 15:27:56.166823
GIGABYTE 지포스 RTX 5050 UD2 OC D6 8GB Nano LP 피씨디렉트,491870,550.0,PCIE5.0X16,182.0,2026-04-20 15:27:56.166823
COLORFUL iGame 지포스 RTX 5050 ULTRA DUO OC White D6 8GB 피씨디렉트,494900,500.0,PCIE5.0X16,231.0,2026-04-20 15:27:56.166823
PowerColor 라데온 RX 9060 Reaper D6 8GB 대원씨티에스,496340,500.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
ASUS DUAL 라데온 RX 9060 D6 8GB 대원씨티에스,497470,550.0,PCIE5.0X16,202.0,2026-04-20 15:27:56.166823
PNY 지포스 RTX 5060 OC D7 8GB Dual Fan STCOM,498990,550.0,PCIE5.0X16,200.0,2026-04-20 15:27:56.166823
COLORFUL 지포스 RTX 5060 토마호크 DUO D7 8GB 피씨디렉트,499000,550.0,PCIE5.0X16,231.0,2026-04-20 15:27:56.166823
MANLI 지포스 RTX 5060 Nebula D7 8GB 대원씨티에스,501860,,PCIE5.0X16,211.0,2026-04-20 15:27:56.166823
