Bench_Name,Score
A-DATA Technology AO1P24HC4R1-BSIS 4GB,15.0
A-DATA Technology AO1P24HC4R1-BUYS 4GB,15.1
A-DATA Technology AO1P24HC8T1-BPGS 8GB,12.9
A-DATA Technology AO1P24HC8T1-BQXS 8GB,15.0
A-DATA Technology AO1P24HC8T1-BSFS 8GB,14.8
A-DATA Technology AO1P24HCST2-BSCS 16GB,17.0
A-DATA Technology AO1P26KC8T1-BC3S 8GB,17.1
A-DATA Technology AO1P26KC8T1-BPXS 8GB,13.1
A-DATA Technology AO1P26KC8T1-BXFSHC 8GB,14.2
A-DATA Technology AO1P26KC8T1-BXPS 8GB,12.0
A-DATA Technology AO1P26KCST2-BWWS 16GB,15.6
A-DATA Technology AO1P26KCST2-BZISHC 16GB,15.6
A-DATA Technology AO1P26KCSV1-BC4S 16GB,16.0
A-DATA Technology AO1P29KC8T1-BY9SSB 8GB,18.4
A-DATA Technology AO1P32MC8T1-BW3S 8GB,18.7
A-DATA Technology AO1P32MCST2-BW4S 16GB,17.6
A-DATA Technology AO1P32MCST2-BZPS 16GB,17.5
A-DATA Technology AO1P32NC8T1-BBVS 8GB,17.9
A-DATA Technology AO1P32NC8T1-BCIS 8GB,16.6
A-DATA Technology AO1P32NC8T1-BCSS 8GB,17.6
A-DATA Technology AO1P32NC8T1-BZ4SHD 8GB,17.1
A-DATA Technology AO1P32NC8W1-BD2SHC 8GB,16.4
A-DATA Technology AO1P32NC8W1-BDAS 8GB,16.1
A-DATA Technology AO1P32NC8W1-BDZS 8GB,16.3
A-DATA Technology AO1P32NCSV1-BDBS 16GB,16.4
A-DATA Technology AO1P32NCSV1-BEWS 16GB,15.2
A-DATA Technology AO1P32NCSV1-BEZS 16GB,15.2
A-DATA Technology AO2P21FC4R1-BRFS 4GB,15.2
A-DATA Technology AO2P21FC8R2-BRGS 8GB,15.5
A-DATA Technology AO2P24HC8T1-BTBS 8GB,16.2
A-DATA Technology AO2P24HCST2-BTCS 16GB,14.5
A-DATA Technology AO2P24HCST2-BTVS 16GB,17.9
A-DATA Technology AO2P24HCST2-BW8S 16GB,14.0
A-DATA Technology AO2P26KC8T1-BPYS 8GB,15.3
A-DATA Technology AO2P26KC8T1-BXGSHC 8GB,17.0
A-DATA Technology AO2P32NC8W1-BD3SHC 8GB,15.1
A-DATA Technology AO2P32NCSV1-BEVS 16GB,19.9
A-DATA Technology AX4S2800316G18-B 16GB,15.4
A-DATA Technology DDR4 2133 2OZ 8GB,14.0
A-DATA Technology DDR4 2400 2OZ 8GB,16.1
A-DATA Technology DDR4 2400 16GB,17.5
A-DATA Technology DDR4 2666 2OZ 4GB,17.0
A-DATA Technology DDR4 2666 8GB,15.7
A-DATA Technology DDR4 2800 2OZ 4GB,15.9
A-DATA Technology DDR4 2800 8GB,19.1
A-DATA Technology DDR4 3000 2OZ 8GB,17.0
A-DATA Technology DDR4 3000 8GB,17.2
A-DATA Technology DDR4 3200 2OZ 4GB,17.4
A-DATA Technology DDR4 3200 8GB,18.9
A-DATA Technology DDR4 3300 2OZ 4GB,22.0
A-DATA Technology DDR4 3333 2OZ 4GB,15.7
A-DATA Technology DDR4 3600 2OZ 8GB,20.2
A-DATA Technology DDR4 3600 8GB,19.9
A-DATA Technology DDR4 4133 2OZ 8GB,19.3
A-DATA Technology DDR4 4133 8GB,19.5
Acer BL.9BWWR.268 8GB,21.2
ACPI Digital Co. Ltd. CMA6-4FA01AAR01A00 4GB,11.9
ADVAN Inc AM42E28UD04T-NVL 4GB,18.2
Advantech Co Ltd SQR-SD4N8G2K6SNBCB 8GB,17.0
Advantech Co Ltd SQR-UD4N16G2K6SNCB 16GB,18.4
AMD R7S44G2606U1S 4GB,18.9
AMD R7S48G2400U2S 8GB,14.2
AMD R7S416G2606U2K 8GB,15.0
AMD R9S48G3206U2S 8GB,20.8
AMD R9S432G3206U2K 16GB,20.7
AMD R744G2133U1S 4GB,13.8
AMD R744G2400U1S 4GB,16.7
